specimen	study_id	actual_date	specimen_id
m57n703-s511	2018	2/16/2015	50001
m57n704-s502	2018	2/23/2015	50002
m57n704-s506	2018	3/2/2015	50007
m30n701-s506	2018	3/3/2015	40032
m57n704-s503	2018	3/9/2015	50005
m57n704-s505	2018	3/16/2015	50006
m30n701-s507	2018	3/20/2015	40038
m57n704-s507	2018	3/23/2015	50008
m57n704-s508	2018	3/30/2015	50009
m57n704-s510	2018	4/6/2015	50010
m57n705-s505	2018	4/13/2015	50020
m30n701-s508	2018	4/20/2015	50021
m30n701-s511	2018	4/27/2015	50022
m30n702-s503	2018	5/4/2015	40054
m57n704-s511	2037	4/6/2015	50011
m57n705-s502	2037	4/12/2015	50012
m57n705-s503	2037	4/20/2015	50013
m30n701-s510	2037	4/24/2015	40052
m57n705-s511	2037	4/27/2015	50026
m57n706-s502	2037	5/4/2015	50027
m57n706-s503	2037	5/11/2015	50028
m30n702-s507	2037	5/15/2015	40059
m57n706-s510	2037	5/18/2015	50039
m57n706-s508	2037	5/25/2015	50038
m57n706-s511	2037	6/1/2015	50040
m30n702-s511	2037	6/5/2015	40067
m57n707-s511	2037	6/8/2015	50067
m57n707-s503	2037	6/13/2015	50051
m57n707-s502	2037	6/22/2015	50050
m57n707-s505	2037	7/6/2015	50052
m30n703-s510	2037	7/10/2015	40079
m57n714-s520	2038	4/14/2015	50016
m57n714-s517	2038	4/22/2015	50014
m57n714-s518	2038	4/27/2015	50015
m30n702-s505	2038	5/6/2015	40055
m57n715-s517	2038	5/11/2015	50032
m57n715-s518	2038	5/18/2015	50033
m57n715-s520	2038	5/25/2015	50034
m30n702-s510	2038	6/1/2015	40065
m57n716-s517	2038	6/8/2015	50044
m57n716-s520	2038	6/15/2015	50046
m30n703-s505	2038	6/19/2015	40073
m57n716-s518	2038	6/22/2015	50045
m57n718-s516	2038	6/29/2015	50059
m57n718-s517	2038	7/6/2015	50060
m30n703-s511	2038	7/10/2015	40081
m57n714-s521	2040	4/15/2015	50017
m57n714-s522	2040	4/28/2015	50019
m30n702-s502	2040	4/30/2015	40053
m57n715-s513	2040	5/15/2015	50030
m57n715-s516	2040	5/20/2015	50031
m30n702-s508	2040	5/21/2015	40060
m57n716-s513	2040	5/24/2015	50041
m57n716-s515	2040	6/1/2015	50042
m57n716-s516	2040	6/9/2015	50043
m30n703-s503	2040	6/11/2015	40069
m30n703-s508	2040	7/8/2015	40078
m57n705-s508	2048	4/27/2015	50024
m57n705-s510	2048	5/4/2015	50025
m57n705-s507	2048	5/11/2015	50023
m30n702-s506	2048	5/15/2015	40058
m57n706-s505	2048	5/18/2015	50035
m57n706-s506	2048	5/25/2015	50036
m57n706-s507	2048	6/1/2015	50037
m30n703-s502	2048	6/5/2015	40068
m57n707-s506	2048	6/8/2015	50053
m57n707-s510	2048	6/15/2015	50055
m57n707-s507	2048	6/22/2015	50054
m30n703-s507	2048	6/30/2015	40076
m57n718-s513	2055	6/8/2015	50049
m57n716-s522	2055	6/15/2015	50048
m57n716-s521	2055	6/22/2015	50047
m30n703-s506	2055	6/29/2015	40074
m57n718-s518	2055	7/13/2015	50061
m57n718-s520	2055	7/20/2015	50062
m30n704-s502	2055	7/23/2015	40090
m57n718-s521	2055	7/27/2015	50083
m57n718-s522	2055	8/3/2015	50084
m57n719-s513	2055	8/10/2015	50085
m30n704-s505	2055	8/13/2015	40112
m57n719-s522	2055	8/17/2015	50121
m57n719-s520	2055	8/24/2015	50119
m57n719-s521	2055	8/31/2015	50120
m30n705-s510	2055	9/2/2015	40136
m59n729-s521	2061	7/14/2015	50068
m59n729-s520	2061	7/22/2015	50069
m59n729-s518	2061	7/27/2015	50070
m30n704-s503	2061	7/31/2015	40096
m59n728-s520	2061	8/5/2015	50095
m59n728-s518	2061	8/17/2015	50097
m30n704-s508	2061	8/19/2015	40118
m59n727-s520	2061	8/24/2015	50128
m30n705-s508	2061	9/1/2015	50129
m30n706-s502	2061	9/8/2015	50130
m30n706-s508	2061	9/14/2015	40145
m59n724-s522	2061	9/28/2015	50178
m30n710-s505	2061	10/6/2015	40169
m59n729-s517	2062	7/19/2015	50071
m59n729-s516	2062	8/3/2015	50073
m30n704-s507	2062	8/18/2015	50102
m30n704-s511	2062	8/24/2015	40123
m59n727-s515	2062	8/31/2015	50139
m59n724-s521	2062	9/28/2015	50185
m59n724-s520	2062	10/6/2015	50186
m59n729-s513	2068	8/2/2015	50082
m59n729-s515	2068	8/8/2015	50081
m59n727-s521	2068	8/17/2015	50115
m59n726-s516	2068	9/10/2015	50158
m59n726-s518	2068	9/16/2015	50156
m59n726-s517	2068	9/21/2015	50157
m59n724-s513	2068	9/26/2015	50203
m30n707-s506	2068	9/29/2015	40157
m59n724-s516	2068	10/3/2015	50201
m30n716-s507	2068	10/20/2015	40177
m57n719-s515	2071	8/3/2015	50087
m57n719-s516	2071	8/17/2015	50088
m30n704-s506	2071	8/18/2015	40115
m30n705-s502	2071	8/24/2015	50123
m30n705-s507	2071	8/31/2015	50122
m57n720-s513	2071	9/7/2015	50124
m30n706-s503	2071	9/9/2015	40139
m57n721-s513	2071	9/14/2015	50161
m57n721-s516	2071	9/21/2015	50163
m57n721-s515	2071	9/28/2015	50162
m30n707-s510	2071	10/1/2015	40162
m57n722-s516	2071	10/5/2015	50210
m57n722-s518	2071	10/12/2015	50211
m57n722-s520	2071	10/19/2015	50212
m30n716-s510	2071	10/22/2015	40182
m59n728-s521	2072	8/10/2015	50091
m59n728-s522	2072	8/17/2015	50090
m30n704-s510	2072	8/21/2015	40120
m59n727-s516	2072	8/24/2015	50134
m59n727-s517	2072	8/31/2015	50133
m59n727-s518	2072	9/7/2015	50131
m30n706-s505	2072	9/11/2015	40142
m59n726-s515	2072	9/14/2015	50169
m59n726-s513	2072	9/28/2015	50170
m30n707-s511	2072	10/2/2015	40163
m59n723-s518	2072	10/5/2015	50213
m30n721-s511	2072	10/12/2015	50214
m30n722-s502	2072	10/19/2015	50215
m57n719-s517	2074	8/18/2015	50094
m57n721-s517	2074	8/24/2015	50180
m30n705-s503	2074	8/25/2015	40126
m57n720-s516	2074	9/1/2015	50145
m57n720-s515	2074	9/9/2015	50144
m57n720-s517	2074	9/14/2015	50146
m30n706-s510	2074	9/15/2015	40146
m57n721-s518	2074	9/21/2015	50181
m57n721-s521	2074	9/28/2015	50183
m30n716-s520	2074	10/6/2015	40168
m57n722-s521	2074	10/12/2015	50224
m57n722-s522	2074	10/26/2015	50226
m57n710-s503	2075	8/10/2015	50100
m57n710-s502	2075	8/17/2015	50099
m57n711-s507	2075	8/24/2015	50136
m57n711-s506	2075	8/31/2015	50135
m57n711-s508	2075	9/7/2015	50137
m30n706-s506	2075	9/11/2015	40143
m57n712-s506	2075	9/14/2015	50171
m57n712-s507	2075	9/21/2015	50172
m57n712-s508	2075	9/29/2015	50173
m30n710-s502	2075	10/2/2015	40164
m57n714-s508	2075	10/5/2015	50216
m57n714-s511	2075	10/12/2015	50218
m57n714-s510	2075	10/19/2015	50217
m30n716-s508	2075	10/20/2015	40179
m59n728-s515	2080	8/10/2015	50104
m59n728-s513	2080	8/17/2015	50105
m59n727-s522	2080	8/24/2015	50106
m30n705-s506	2080	8/28/2015	40134
m59n727-s513	2080	8/31/2015	50150
m59n726-s521	2080	9/7/2015	50151
m59n726-s520	2080	9/14/2015	50152
m30n707-s503	2080	9/18/2015	40151
m59n724-s518	2080	9/21/2015	50194
m59n724-s517	2080	9/28/2015	50195
m30n716-s518	2080	10/5/2015	50196
m30n722-s503	2080	10/12/2015	50240
m59n723-s517	2080	10/19/2015	50237
m59n723-s516	2080	10/26/2015	50238
m59n723-s515	2080	11/2/2015	50239
m30n718-s506	2080	11/6/2015	40196
m57n710-s505	2081	8/10/2015	50107
m57n710-s506	2081	8/18/2015	50108
m57n710-s507	2081	8/24/2015	50109
m30n705-s505	2081	8/27/2015	40133
m57n711-s511	2081	8/31/2015	50147
m57n712-s502	2081	9/8/2015	50148
m57n712-s503	2081	9/15/2015	50149
m30n706-s511	2081	9/17/2015	40148
m57n714-s502	2081	9/22/2015	50187
m57n714-s503	2081	10/8/2015	40171
m57n715-s505	2081	10/19/2015	50228
m57n715-s506	2081	10/26/2015	50229
m30n718-s503	2081	10/29/2015	40191
m57n710-s508	2086	8/17/2015	50116
m57n710-s510	2086	8/29/2015	50117
m30n705-s511	2086	9/8/2015	40138
m57n712-s505	2086	9/9/2015	50160
m57n710-s511	2086	9/15/2015	50118
m30n707-s502	2086	9/18/2015	40150
m57n714-s506	2086	9/29/2015	50191
m57n714-s507	2086	10/5/2015	50192
m30n724-s511	2086	10/9/2015	40173
m57n715-s507	2086	10/13/2015	50230
m57n715-s510	2086	10/20/2015	50232
m57n715-s508	2086	10/26/2015	50231
m30n716-s511	2086	10/27/2015	40186
m57n711-s503	2090	8/26/2015	50126
m57n711-s502	2090	9/2/2015	50125
m30n706-s507	2090	9/14/2015	40144
m57n712-s510	2090	9/23/2015	50174
m57n712-s511	2090	9/30/2015	50175
m30n710-s503	2090	10/5/2015	40165
m57n715-s502	2090	10/12/2015	50219
m57n715-s503	2090	10/19/2015	50220
m30n726-s503	2090	10/29/2015	40190
m57n716-s505	2090	11/11/2015	50253
m30n718-s508	2090	11/16/2015	40201
m57n720-s520	2101	9/8/2015	50154
m57n720-s518	2101	9/14/2015	50153
m30n707-s505	2101	9/21/2015	40152
m57n721-s522	2101	9/28/2015	50197
m57n722-s513	2101	10/6/2015	50198
m57n722-s515	2101	10/12/2015	50199
m57n723-s515	2101	10/21/2015	50235
m57n723-s513	2101	10/27/2015	50234
m57n723-s516	2101	11/2/2015	50236
m30n718-s505	2101	11/4/2015	40194
m57n723-s517	2101	11/10/2015	50257
m57n723-s518	2101	12/3/2015	50258
m30n718-s511	2101	12/4/2015	40208
m30n716-s506	2108	10/8/2015	40172
m71n718-s522	2108	10/20/2015	40178
m57n716-s503	2108	10/30/2015	50246
m57n716-s506	2108	11/30/2015	50263
m30n719-s503	2108	12/10/2015	40213
m57n716-s502	2108	12/16/2015	50244
m57n716-s511	2108	12/21/2015	50282
m57n718-s503	2108	12/30/2015	50283
m30n719-s510	2108	12/31/2015	40226
m59n723-s520	2109	10/6/2015	50209
m59n723-s522	2109	10/13/2015	50207
m30n726-s502	2109	10/19/2015	40176
m59n723-s513	2109	10/20/2015	50241
m59n722-s522	2109	10/27/2015	50242
m59n722-s521	2109	11/3/2015	50243
m59n722-s516	2109	11/10/2015	50259
m59n722-s515	2109	11/17/2015	50260
m59n722-s513	2109	11/24/2015	50261
m59n723-s521	2109	12/1/2015	50208
m30n718-s510	2109	12/3/2015	40206
m59n721-s515	2109	12/10/2015	50271
m59n721-s516	2109	12/14/2015	50270
m59n721-s513	2109	12/29/2015	50272
m59n722-s520	2117	11/2/2015	50250
m59n722-s518	2117	11/9/2015	50251
m30n718-s507	2117	11/16/2015	40200
m59n721-s521	2117	11/23/2015	50266
m59n721-s522	2117	12/1/2015	50264
m30n719-s502	2117	12/7/2015	40209
m59n720-s521	2117	12/15/2015	50276
m59n720-s520	2117	12/27/2015	50277
m30n719-s506	2117	12/28/2015	40221
m59n719-s522	2117	1/5/2016	50293
m59n719-s521	2117	1/13/2016	50294
m59n719-s520	2117	1/18/2016	50295
m30n720-s507	2117	1/20/2016	40236
m59n721-s520	2123	11/23/2015	50267
m59n721-s518	2123	11/30/2015	50268
m59n721-s517	2123	12/7/2015	50269
m30n726-s506	2123	12/9/2015	40212
m59n720-s518	2123	12/13/2015	50279
m59n720-s516	2123	12/21/2015	50281
m59n720-s517	2123	12/28/2015	50280
m30n719-s507	2123	12/30/2015	40223
m30n722-s505	2123	1/4/2016	50296
m30n722-s506	2123	1/11/2016	50297
m59n719-s517	2123	1/18/2016	50298
m30n720-s506	2123	1/19/2016	40235
m59n718-s513	2123	1/25/2016	50329
m59n718-s516	2123	2/1/2016	50328
m59n718-s517	2123	2/8/2016	50327
m30n721-s506	2123	2/9/2016	40246
m57n716-s507	2128	12/7/2015	50273
m57n716-s508	2128	12/14/2015	50274
m57n716-s510	2128	12/31/2015	40227
m57n718-s510	2128	1/4/2016	50302
m57n718-s511	2128	1/11/2016	50303
m57n719-s502	2128	1/18/2016	50304
m30n720-s510	2128	1/22/2016	40238
m57n719-s511	2128	1/25/2016	50333
m57n720-s502	2128	2/1/2016	50334
m57n720-s503	2128	2/9/2016	50335
m30n727-s507	2128	2/12/2016	40248
m57n720-s511	2128	2/15/2016	50360
m57n721-s502	2128	2/22/2016	50361
m57n721-s503	2128	2/29/2016	50362
m30n702-s515	2128	3/11/2016	40261
m57n718-s506	2132	12/21/2015	50287
m57n718-s505	2132	12/28/2015	50286
m30n719-s511	2132	1/4/2016	40228
m57n719-s506	2132	1/11/2016	50307
m57n719-s503	2132	1/18/2016	50305
m30n720-s511	2132	1/25/2016	40239
m57n720-s505	2132	2/1/2016	50338
m30n722-s508	2132	2/8/2016	50337
m30n722-s507	2132	2/15/2016	50336
m30n701-s517	2132	2/22/2016	40252
m57n721-s507	2132	2/29/2016	50368
m57n721-s505	2132	3/8/2016	50366
m57n721-s506	2132	3/14/2016	50367
m30n702-s516	2132	3/15/2016	40262
m30n726-s508	2135	12/29/2015	40222
m57n718-s508	2135	1/6/2016	50289
m57n718-s507	2135	1/11/2016	50288
m30n727-s503	2135	1/13/2016	40234
m57n719-s507	2135	1/19/2016	50323
m57n719-s508	2135	1/27/2016	50324
m57n719-s510	2135	2/2/2016	50325
m30n721-s503	2135	2/3/2016	40243
m57n720-s507	2135	2/9/2016	50348
m57n720-s508	2135	2/15/2016	50349
m57n720-s510	2135	2/22/2016	50350
m30n701-s520	2135	2/26/2016	40257
m57n721-s511	2135	3/2/2016	50383
m57n721-s510	2135	3/8/2016	50382
m57n721-s508	2135	3/15/2016	50381
m30n702-s522	2135	3/18/2016	40267
m59n720-s515	2136	12/28/2015	50290
m59n720-s513	2136	1/4/2016	50291
m30n720-s503	2136	1/11/2016	40230
m59n719-s513	2136	1/18/2016	50311
m59n718-s522	2136	1/25/2016	50313
m30n727-s505	2136	2/1/2016	40240
m30n722-s510	2136	2/8/2016	50339
m30n722-s511	2136	2/15/2016	50340
m30n701-s518	2136	2/22/2016	40254
m59n715-s520	2136	2/29/2016	50374
m59n716-s513	2136	3/7/2016	50372
m59n715-s521	2136	3/14/2016	50373
m30n702-s520	2136	3/16/2016	40265
m59n719-s515	2137	1/16/2016	50300
m59n719-s516	2137	1/20/2016	50299
m30n720-s508	2137	1/22/2016	40237
m59n716-s522	2137	2/4/2016	50330
m59n716-s521	2137	2/11/2016	50331
m30n721-s507	2137	2/12/2016	40247
