seqid	sample_name	animal	sample_number
m75n701-s503	Animal_06-1	Animal_06	1
m75n701-s505	Animal_06-2	Animal_06	2
m75n701-s506	Animal_06-3	Animal_06	3
m75n701-s507	Animal_06-4	Animal_06	4
m75n701-s508	Animal_06-5	Animal_06	5
m75n701-s510	Animal_06-6	Animal_06	6
m75n701-s511	Animal_06-7	Animal_06	7
m75n701-s515	Animal_02-1	Animal_02	1
m75n701-s516	Animal_02-2	Animal_02	2
m75n701-s517	Animal_02-3	Animal_02	3
m75n701-s518	Animal_02-4	Animal_02	4
m75n701-s520	Animal_02-5	Animal_02	5
m75n701-s521	Animal_02-6	Animal_02	6
m75n701-s522	Animal_02-7	Animal_02	7
m75n702-s502	Animal_06-8	Animal_06	8
m75n702-s505	Animal_06-9	Animal_06	9
m75n702-s506	Animal_06-10	Animal_06	10
m75n702-s507	Animal_06-11	Animal_06	11
m75n702-s508	Animal_06-12	Animal_06	12
m75n702-s510	Animal_06-13	Animal_06	13
m75n702-s511	Animal_06-14	Animal_06	14
m75n702-s513	Animal_02-8	Animal_02	8
m75n702-s516	Animal_02-9	Animal_02	9
m75n702-s517	Animal_02-10	Animal_02	10
m75n702-s518	Animal_02-11	Animal_02	11
m75n702-s520	Animal_02-12	Animal_02	12
m75n702-s521	Animal_02-13	Animal_02	13
m75n702-s522	Animal_02-14	Animal_02	14
m75n703-s502	Animal_06-15	Animal_06	15
m75n703-s503	Animal_06-16	Animal_06	16
m75n703-s506	Animal_06-17	Animal_06	17
m75n703-s507	Animal_06-18	Animal_06	18
m75n703-s508	Animal_06-19	Animal_06	19
m75n703-s510	Animal_06-20	Animal_06	20
m75n703-s511	Animal_06-21	Animal_06	21
m75n703-s513	Animal_02-15	Animal_02	15
m75n703-s515	Animal_02-16	Animal_02	16
m75n703-s517	Animal_02-17	Animal_02	17
m75n703-s518	Animal_02-18	Animal_02	18
m75n703-s520	Animal_02-19	Animal_02	19
m75n703-s521	Animal_02-20	Animal_02	20
m75n703-s522	Animal_02-21	Animal_02	21
m75n704-s502	Animal_06-22	Animal_06	22
m75n704-s503	Animal_06-23	Animal_06	23
m75n704-s505	Animal_06-24	Animal_06	24
m75n704-s507	Animal_06-25	Animal_06	25
m75n704-s508	Animal_06-26	Animal_06	26
m75n704-s510	Animal_06-27	Animal_06	27
