specimen	specimen_name	sample_type	sample_type_supt1
m69n701-s502	0786FOS-AIR	AIR	Operating Room Air
m69n701-s503	1265SPE-AIR	AIR	Operating Room Air
m69n701-s505	3347MCL-AIR	AIR	Operating Room Air
m69n701-s506	3439BOR-AIR	AIR	Operating Room Air
m69n701-s507	3618HER-AIR	AIR	Operating Room Air
m69n701-s508	4133BLU-AIR	AIR	Operating Room Air
m69n701-s510	6659BAD-AIR	AIR	Operating Room Air
m69n701-s511	7991SON-AIR	AIR	Operating Room Air
m69n701-s518	3439BOR-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n701-s520	NTC_m69_3F1	WATER	No Template PCRControl – Water
m69n701-s521	NTC_m69_3G1	WATER	No Template PCRControl – Water
m69n701-s522	NTC_m69_3H1	WATER	No Template PCRControl – Water
m69n702-s502	8088LAN-AIR	AIR	Operating Room Air
m69n702-s503	6780MUR-AIR	AIR	Operating Room Air
m69n702-s505	9458HAM-AIR	AIR	Operating Room Air
m69n702-s506	7474HAS-AIR	AIR	Operating Room Air
m69n702-s507	2995LIB-AIR	AIR	Operating Room Air
m69n702-s508	9051SOU-AIR	AIR	Operating Room Air
m69n702-s510	0002MCQ-AIR	AIR	Operating Room Air
m69n702-s513	NTC_m69_3A2	WATER	No Template PCRControl – Water
m69n702-s516	NTC_m69_3C2	WATER	No Template PCRControl – Water
m69n702-s518	NTC_m69_3E2	WATER	No Template PCRControl – Water
m69n702-s520	NTC_m69_3F2	WATER	No Template PCRControl – Water
m69n702-s521	NTC_m69_3G2	WATER	No Template PCRControl – Water
m69n703-s502	1609HEU-AIR	AIR	Operating Room Air
m69n703-s503	1705MAH-AIR	AIR	Operating Room Air
m69n703-s505	2371PAT-AIR	AIR	Operating Room Air
m69n703-s506	2456CUR-AIR	AIR	Operating Room Air
m69n703-s508	3896PLA-AIR	AIR	Operating Room Air
m69n703-s510	4186LAR-AIR	AIR	Operating Room Air
m69n703-s511	4346ACO-AIR	AIR	Operating Room Air
m69n703-s513	7274ROB-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s515	7887GAR-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s516	7887GAR-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s517	7907STE-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s518	7907STE-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s520	7958HOP-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s521	7958HOP-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s522	8312SIM-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s502	6015CUT-AIR	AIR	Operating Room Air
m69n704-s503	6144SAU-AIR	AIR	Operating Room Air
m69n704-s505	6408HIG-AIR	AIR	Operating Room Air
m69n704-s506	7476GON-AIR	AIR	Operating Room Air
m69n704-s507	7499ZIC-AIR	AIR	Operating Room Air
m69n704-s508	7745DUN-AIR	AIR	Operating Room Air
m69n704-s510	7839BOH-AIR	AIR	Operating Room Air
m69n704-s511	7877STA-AIR	AIR	Operating Room Air
m69n704-s513	8312SIM-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s515	8343WIL-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s516	8343WIL-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s517	9086CAM-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s518	9086CAM-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s520	9671XAI-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s521	9755MAS-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s522	9770MEY-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s502	8661SAN-AIR	AIR	Operating Room Air
m69n705-s503	8682BER-AIR	AIR	Operating Room Air
m69n705-s505	8896GIL-AIR	AIR	Operating Room Air
m69n705-s506	8972SIB-AIR	AIR	Operating Room Air
m69n705-s507	9027WIL-AIR	AIR	Operating Room Air
m69n705-s508	9087WIL-AIR	AIR	Operating Room Air
m69n705-s513	9770MEY-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s515	9914DAN-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s516	9914DAN-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s517	0182SMA-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s518	0182SMA-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s520	0987SAM-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s521	0987SAM-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s522	1525COO-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s510	NTC_m69_1G6	WATER	No Template PCRControl – Water
m69n706-s513	1525COO-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s515	1856EBB-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s516	1856EBB-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s517	1922BUR-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s518	1922BUR-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s520	2759POL-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s521	3548PRO-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s522	3548PRO-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s513	3661AND-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s515	3661AND-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s516	3971BIC-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s517	3971BIC-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s518	4080CHE-LOV	FTO	Fallopian Tube and Ovarian Surface
