*sample_name	description	bioproject_id	sample_title	*organism	host	isolation_source	*collection_date	*geo_loc_name	*lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id
p7z1tr10				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S1
p7z2tr10				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S2
p7z2tr12				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S3
p7z2tr17				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S4
p7z2tr18				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S5
p7z2tr19				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S6
p7z2tr22				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S7
p7z2tr24				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S8
p7z1tr24				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S9
p7z2tr27				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S10
p7z2tr28				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S11
p7z2tr29				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S12
p7z2tr31				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S13
p7z2tr32				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S14
p7z2tr33				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S15
p7z2tr35				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S16
p7z2tr39				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S17
p7z2tr4				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S18
p7z1tr4				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S19
p7z2tr42				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S20
p7z2tr44				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S21
p7z2tr45				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S22
p7z2tr5				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S23
p7z1tr5				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S24
p7z2tr53				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S25
p7z2tr54				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S26
p7z2tr55				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S27
p7z2tr56				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S28
p7z2tr57				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S29
p7z2tr58				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S30
p7z2tr60				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S31
p7z2tr61				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S32
p7z2tr62				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S33
p7z2tr63				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S34
p7z2tr64				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S35
p7z2tr66				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S36
p7z2tr67				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S37
p7z2tr7				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S38
p7z1tr7				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S39
p7z2tr72				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S40
p7z2tr8				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S41
p7z1tr80				human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected						S42
