*sample_name	sample_title	bioproject_accession	*organism	host	isolation_source	*collection_date	*geo_loc_name	*lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	plate	zone	primer	biosample_accession
p6z2tr5			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z2	tr5	
p6z2tr7			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z2	tr7	
p6z2tr8			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z2	tr8	
p6z1tr9			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z1	tr9	
p6z1tr10			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z1	tr10	
p6z2tr17			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z2	tr17	
p6z2tr18			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z2	tr18	
p7z2tr48			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p7	z2	tr48	
p6z1tr22			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z1	tr22	
j31tr8			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								j31		tr8	
j31tr10			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								j31		tr10	
p6z2tr28			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z2	tr28	
p6z2tr39			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z2	tr39	
p6z1tr41			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z1	tr41	
p6z1trev9			human metagenome	Homo sapiens		missing	"USA: Seattle, WA"	not collected								p6	z1	trev9	
