sample_name	description	bioproject_id	sample_title	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	isolate
p6z2tr4				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S1
p6z1tr66				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S2
p6z1tr67				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S3
p6z1tr12				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S4
p6z2tr68				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S5
p6z1tr19				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S6
p6z1tr23				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S7
p6z1tr40				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S8
p7z2tr51				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S9
j22tr52				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S10
j22tr22				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S11
j22tr53				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S12
j22tr54				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S13
j22tr55				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S14
j22tr57				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S15
j22tr23				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S16
j31tr4				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S17
j22tr63				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S18
j31tr7				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S19
j31tr48				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S20
j26tr8				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S21
j26tr9				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S22
j26tr10				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S23
j31tr11				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S24
j26tr65				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S25
j26tr24				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S26
j26tr26				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S27
j26tr27				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S28
j26tr28				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S29
j31tr29				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S30
j31tr31				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S31
j31tr32				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S32
j31tr33				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S33
j31tr52				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S34
j31tr34				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S35
j31tr53				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S36
j31tr55				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S37
j31tr56				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S38
j31tr57				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S39
j31tr58				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S40
j31tr59				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S41
j31tr60				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S42
j22tr26				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S43
j31tr61				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S44
j31tr62				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S45
j31tr63				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S46
j22tr27				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S47
j31tr64				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S48
j31tr65				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S49
j31tr66				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S50
p6z1tr24				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S51
p6z2tr44				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S52
p6z2tr63				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S53
j56tr68				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S54
j56tr69				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S55
j56tr70				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S56
j56tr71				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S57
j56tr72				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S58
j56tr73				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S59
j56tr74				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S60
j56tr75				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S61
j56tr76				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S62
j56tr77				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S63
j56tr78				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S64
j56tr48				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S65
j56tr49				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S66
j56tr51				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S67
j56tr52				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S68
j56tr53				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S69
j56tr27				human metagenome	Homo sapiens	vaginal fluid	missing	"USA: Seattle, WA"	not collected							S70
